genome	number of scaffolds	taxonomy	5S rRNA	16S rRNA	23S rRNA	tRNA count
ERR4836936_bin.13	132	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__		ERR4836936_bin.13_NODE_262_length_51855_cov_139.742008 (51273, 51854)		43
ERR4836936_bin.17	143	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter sp900761655				40
ERR4836937_bin.12	35	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-822;s__CAG-822 sp000432855	ERR4836937_bin.12_NODE_942_length_24809_cov_26.650158 (336, 411)	ERR4836937_bin.12_NODE_803_length_27592_cov_26.463594 (27158, 27592)		22
ERR4836937_bin.2	113	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella_E;s__Olsenella_E sp002305805				44
ERR4836937_bin.24	23	ERR4836937_bin.24	ERR4836937_bin.24_NODE_30_length_188371_cov_9.592085 (131337, 131453)	ERR4836937_bin.24_NODE_8_length_313976_cov_9.384982 (112736, 114196)	ERR4836937_bin.24_NODE_8_length_313976_cov_9.384982 (135240, 138127)	43
ERR4836937_bin.35	64	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__Borkfalkia;s__Borkfalkia sp900761665	ERR4836937_bin.35_NODE_292_length_56546_cov_51.634048 (2, 83)			38
ERR4836937_bin.38	115	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella_E;s__				44
ERR4836937_bin.47	37	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Enorma;s__Enorma massiliensis				50
ERR4836937_bin.7	343	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-74;g__HGM11575;s__				16
ERR4836937_bin.9	70	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-460;s__CAG-460 sp900546715	ERR4836937_bin.9_NODE_15000_length_3177_cov_18.345291 (2906, 2981)	ERR4836937_bin.9_NODE_1384_length_18638_cov_18.863477 (1, 855)		25
ERR4836938_bin.15	35	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__UMGS1795;s__UMGS1795 sp900553555		2 present		45
ERR4836938_bin.26	23	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella sp900538705		ERR4836938_bin.26_NODE_120_length_95398_cov_59.900276 (2672, 4195)	ERR4836938_bin.26_NODE_120_length_95398_cov_59.900276 (3, 2257)	48
ERR4836938_bin.48	63	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__UBA10677;s__UBA10677 sp900543755				45
ERR4836938_bin.53	116	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__				30
ERR4836939_bin.20	43	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp900546065				32
ERR4836939_bin.30	77	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__CAG-484;s__CAG-484 sp000431315	ERR4836939_bin.30_NODE_1142_length_24510_cov_9.338540 (259, 359)			42
ERR4836939_bin.40	269	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__HGM13222;s__				32
ERR4836940_bin.16	60	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__An2-A;s__				47
ERR4836940_bin.30	65	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__UMGS1864;s__				37
ERR4836940_bin.4	191	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__UMGS1880;s__UMGS1880 sp900761765		ERR4836940_bin.4_NODE_8421_length_3441_cov_7.249262 (2683, 3441)		30
ERR4836941_bin.10	87	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sp900546095				32
ERR4836941_bin.22	233	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1448;s__	ERR4836941_bin.22_NODE_803_length_28851_cov_8.961557 (159, 269)			33
ERR4836941_bin.42	246	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__UMGS1872 sp900549475				22
ERR4836942_bin.19	20	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__UMGS268;s__UMGS268 sp900540175				44
ERR4836942_bin.46	42	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-302;s__	ERR4836942_bin.46_NODE_703_length_39415_cov_43.731733 (1866, 1938)		ERR4836942_bin.46_NODE_703_length_39415_cov_43.731733 (2, 1796)	26
ERR4836942_bin.7	24	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-594;s__	ERR4836942_bin.7_NODE_1435_length_23561_cov_12.784140 (384, 460)			35
ERR4836944_bin.18	58	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__Borkfalkia;s__Borkfalkia sp900761675		ERR4836944_bin.18_NODE_128_length_113609_cov_81.609904 (112482, 113606)		45
ERR4836946_bin.19	84	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UMGS1826;s__	ERR4836946_bin.19_NODE_1229_length_25189_cov_81.838187 (24847, 24947)			50
ERR4836946_bin.32	194	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor sp002161215	ERR4836946_bin.32_NODE_2188_length_15415_cov_25.052083 (14872, 14981)			35
ERR4836947_bin.43	27	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Tidjanibacter;s__Tidjanibacter inops_A				39
ERR4836947_bin.46	56	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__				47
ERR4836947_bin.56	30	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-917;g__UMGS1688;s__	ERR4836947_bin.56_NODE_165_length_87112_cov_18.423941 (86474, 86584)			45
ERR4836948_bin.29	32	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__RUG14156;g__;s__				27
ERR4836948_bin.32	57	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAG-495;s__				40
ERR4836948_bin.4	22	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAG-267;s__CAG-267 sp001917135				41
ERR4836948_bin.53	61	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Frisingicoccus;s__Frisingicoccus sp900753685				41
ERR4836949_bin.12	85	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UMGS1004;s__	ERR4836949_bin.12_NODE_574_length_46610_cov_28.786876 (45425, 45534)	ERR4836949_bin.12_NODE_2434_length_15708_cov_41.472370 (1, 1047)	ERR4836949_bin.12_NODE_574_length_46610_cov_28.786876 (45751, 46607)	38
ERR4836949_bin.22	55	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola plebeius_A				66
ERR4836949_bin.36	155	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor sp002161085	ERR4836949_bin.36_NODE_3973_length_10197_cov_67.871623 (9897, 10005)			45
ERR4836950_bin.14	75	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gallinarum				59
ERR4836950_bin.18	101	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA1820;g__UBA1820;s__UBA1820 sp002314265				36
ERR4836950_bin.25	45	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA7067;s__	ERR4836950_bin.25_NODE_26_length_182289_cov_26.627819 (54266, 54376)			35
ERR4836950_bin.3	26	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__RUG14156;g__;s__		ERR4836950_bin.3_NODE_1034_length_23108_cov_42.071010 (2, 932)		40
ERR4836950_bin.43	122	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__	ERR4836950_bin.43_NODE_2017_length_14151_cov_9.615707 (14063, 14150)			30
ERR4836951_bin.32	106	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__				41
ERR4836953_bin.26	147	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__				43
ERR4836953_bin.28	33	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__CABKMX01;s__				42
ERR4836954_bin.5	224	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium ramosum				30
ERR4836956_bin.17	22	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA11471;g__UBA11471;s__UBA11471 sp900542765				44
ERR4836956_bin.18	20	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA4626;s__	ERR4836956_bin.18_NODE_4505_length_7795_cov_24.956331 (452, 564)	ERR4836956_bin.18_NODE_363_length_51235_cov_28.105803 (45796, 47401)		39
ERR4836956_bin.24	56	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__UBA7057;s__UBA7057 sp900543675				28
ERR4836956_bin.34	47	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__;g__;s__		ERR4836956_bin.34_NODE_293_length_60124_cov_15.735021 (2, 828)		23
ERR4836957_bin.16	137	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__				32
ERR4836957_bin.34	267	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA3818;s__	ERR4836957_bin.34_NODE_14371_length_2985_cov_5.308191 (1, 84)			29
ERR4836957_bin.5	121	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UMGS1004;s__	ERR4836957_bin.5_NODE_153_length_84472_cov_19.714524 (1, 80)			47
ERR4836957_bin.9	31	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1839;s__	3 present			42
ERR4836958_bin.14	132	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallis;s__Victivallis sp900551245				45
ERR4836958_bin.2	19	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-977;g__CAG-977;s__				43
ERR4836958_bin.25	139	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA5446;s__UBA5446 sp900759385	2 present	ERR4836958_bin.25_NODE_3117_length_12107_cov_17.858032 (11651, 12106)		37
ERR4836958_bin.29	33	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__CAG-312;g__CAG-312;s__CAG-312 sp900545715				44
ERR4836958_bin.33	181	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-451;s__				14
ERR4836958_bin.38	83	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-279;s__CAG-279 sp900544305	ERR4836958_bin.38_NODE_3229_length_11624_cov_88.076325 (11302, 11396)			45
ERR4836958_bin.39	76	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__CAG-521;s__CAG-521 sp002329575				49
ERR4836959_bin.22	60	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q saccharolyticum_A				41
ERR4836959_bin.26	175	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1375;s__	ERR4836959_bin.26_NODE_5663_length_6678_cov_6.180130 (6415, 6523)			36
ERR4836959_bin.28	78	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella sp900543805				48
ERR4836959_bin.7	70	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Tidjanibacter;s__				39
ERR4836960_bin.14	50	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium gallinarum				58
ERR4836960_bin.34	91	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus oris				36
ERR4836960_bin.5	105	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B hirae				20
ERR4836961_bin.23	45	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-451;s__				29
ERR4836961_bin.45	72	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium_A;s__				37
ERR4836961_bin.48	193	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;s__		ERR4836961_bin.48_NODE_9770_length_6803_cov_58.131002 (1, 918)		36
ERR4836961_bin.58	45	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA11517;s__				30
ERR4836961_bin.70	57	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	ERR4836961_bin.70_NODE_1285_length_31377_cov_21.921078 (4583, 4682)			27
ERR4836961_bin.71	128	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Hydrogeniiclostridium;s__	ERR4836961_bin.71_NODE_20389_length_3673_cov_43.399116 (1710, 1821)			40
ERR4836961_bin.78	272	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__				26
ERR4836962_bin.31	34	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Duodenibacillus;s__Duodenibacillus sp900538905				49
ERR4836962_bin.52	57	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900541255				40
ERR4836962_bin.59	27	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__				45
ERR4836962_bin.62	80	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__				30
ERR4836962_bin.69	37	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAG-495;s__CAG-495 sp001917125				41
ERR4836963_bin.73	35	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAG-495;s__CAG-495 sp000436375		ERR4836963_bin.73_NODE_4846_length_15345_cov_90.908371 (1, 884)		42
ERR4836963_bin.78	22	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__CAG-484;s__				41
ERR4836963_bin.79	75	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__				31
ERR4836964_bin.1	50	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus ingluviei				50
ERR4836964_bin.18	46	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__				25
ERR4836964_bin.21	82	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia flexneri				68
ERR4836964_bin.23	27	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis				41
ERR4836964_bin.35	50	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-451;s__	ERR4836964_bin.35_NODE_659_length_52544_cov_56.491151 (52128, 52201)			33
ERR4836964_bin.45	53	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__HGM13634;s__		ERR4836964_bin.45_NODE_1485_length_28581_cov_75.644745 (27680, 28581)		33
ERR4836964_bin.67	264	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallis;s__Victivallis sp900768515				33
ERR4836965_bin.64	97	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__Borkfalkia;s__				25
ERR4836965_bin.79	23	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__;s__				30
ERR4836965_bin.80	129	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-917;g__UMGS1688;s__UMGS1688 sp900754695				37
ERR4836965_bin.89	95	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__UMGS1217;s__	ERR4836965_bin.89_NODE_8098_length_9036_cov_40.626434 (264, 334)	ERR4836965_bin.89_NODE_15976_length_5283_cov_45.022953 (1, 855)		32
ERR4836965_bin.9	12	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_D;s__Campylobacter_D coli				38
ERR4836966_bin.112	112	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-776;s__				6
ERR4836966_bin.15	61	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-460;s__		ERR4836966_bin.15_NODE_1114_length_44376_cov_149.102818 (11857, 13424)	ERR4836966_bin.15_NODE_1114_length_44376_cov_149.102818 (8669, 11584)	32
ERR4836966_bin.3	36	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__;s__	ERR4836966_bin.3_NODE_1501_length_35542_cov_7.091724 (154, 227)			28
ERR4836966_bin.38	185	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UMGS1004;s__				11
ERR4836966_bin.39	261	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-74;g__Firm-11;s__Firm-11 sp900553905				41
ERR4836966_bin.50	40	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Mucispirillaceae;g__Mucispirillum;s__	ERR4836966_bin.50_NODE_824_length_54509_cov_41.360671 (54122, 54233)			33
ERR4836966_bin.55	20	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__;s__	ERR4836966_bin.55_NODE_773_length_56971_cov_41.200278 (56888, 56971)			42
ERR4836966_bin.76	51	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__	ERR4836966_bin.76_NODE_9597_length_7850_cov_18.203335 (7605, 7717)			26
ERR4836966_bin.8	225	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__UBA940;s__	ERR4836966_bin.8_NODE_4442_length_15249_cov_5.395288 (15166, 15249)			36
ERR4836966_bin.81	285	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-74;g__HGM11575;s__				14
ERR4836966_bin.83	79	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	ERR4836966_bin.83_NODE_262_length_104228_cov_674.690198 (1, 82)			49
ERR4836966_bin.91	37	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__UBA3637;g__;s__				42
ERR4968556_bin.9	65	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA2866;s__	3 present	3 present	7 present	46
ERR4968559_bin.17	78	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-314;g__UMGS929;s__UMGS929 sp900546875				41
ERR4968560_bin.12	112	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__UMGS2068;s__		ERR4968560_bin.12_NODE_546_length_16223_cov_16.174975 (12337, 13893)	ERR4968560_bin.12_NODE_546_length_16223_cov_16.174975 (14084, 16220)	28
ERR4968562_bin.1	53	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-594;s__	ERR4968562_bin.1_NODE_44_length_84620_cov_12.333471 (83483, 83559)	ERR4968562_bin.1_NODE_443_length_27466_cov_15.740870 (23749, 25311)	2 present	35
ERR4968564_bin.11	90	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sp002161765				45
ERR4968564_bin.18	99	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__RUG14156;g__;s__				28
ERR4968564_bin.7	142	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__				45
ERR4968565_bin.12	99	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	3 present			58
ERR4968565_bin.23	32	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__RUG14156;g__;s__				38
ERR4968565_bin.3	26	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__CAG-521;s__CAG-521 sp000437635				47
ERR4968566_bin.20	67	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__				48
ERR4968567_bin.25	108	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__				28
ERR4968569_bin.27	117	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sp900066445			ERR4968569_bin.27_NODE_11332_length_2583_cov_155.792722 (1, 2478)	61
ERR4968570_bin.16	122	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__	ERR4968570_bin.16_NODE_1656_length_14122_cov_23.006043 (1085, 1182)		ERR4968570_bin.16_NODE_1656_length_14122_cov_23.006043 (1, 965)	20
ERR4968570_bin.31	136	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__				28
ERR4968571_bin.10	80	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1448;s__				54
ERR4968574_bin.18	50	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__	2 present	ERR4968574_bin.18_NODE_294_length_61074_cov_20.462233 (60077, 61074)		32
ERR4968574_bin.31	17	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag1;s__Zag1 sp000437435				41
ERR4968575_bin.35	53	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-822;s__	ERR4968575_bin.35_NODE_295_length_39055_cov_80.774769 (35436, 35511)	ERR4968575_bin.35_NODE_609_length_26194_cov_76.862696 (1, 1237)	ERR4968575_bin.35_NODE_295_length_39055_cov_80.774769 (35586, 38500)	37
ERR4968576_bin.20	179	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UMGS1004;s__				19
ERR4968576_bin.9	77	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__CAG-180 sp002314305	ERR4968576_bin.9_NODE_98_length_69375_cov_8.359665 (60483, 60591)			30
ERR4968577_bin.3	103	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-793;s__	ERR4968577_bin.3_NODE_1053_length_18541_cov_6.703830 (18265, 18377)			28
ERR4968577_bin.33	12	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag1;s__	ERR4968577_bin.33_NODE_231_length_50814_cov_22.321953 (50350, 50451)	ERR4968577_bin.33_NODE_11_length_243526_cov_23.360667 (242857, 243526)		42
ERR4968579_bin.26	29	ERR4968579_bin.26	ERR4968579_bin.26_NODE_797_length_30795_cov_8.644079 (4, 99)			44
ERR4968579_bin.33	81	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-451;s__	ERR4968579_bin.33_NODE_154_length_88877_cov_32.948459 (236, 309)	ERR4968579_bin.33_NODE_572_length_39539_cov_33.126304 (1, 850)		34
ERR4968580_bin.12	127	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__				31
ERR4968580_bin.19	22	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__;s__				38
ERR4968581_bin.26	178	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis_A				50
ERR4968582_bin.9	25	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila				45
ERR4968584_bin.26	40	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__				38
ERR4968584_bin.51	101	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum lactatifermentans				29
